S,C,pHTris,ETris,weight,Volume,pH,E,T
29.6,0.1001,7.009,-5.5,86.17,2.05,3.524,197.5,27.7
,,,,,2.1,3.461,203,30.3
,,,,,2.15,3.4,206.6,30.3
,,,,,2.2,3.347,209.7,30.3
,,,,,2.25,3.3,212.5,30.4
,,,,,2.3,3.257,215,30.4
,,,,,2.35,3.218,217.3,30.4
,,,,,2.4,3.182,219.4,30.4
,,,,,2.45,3.148,221.4,30.4
,,,,,2.5,3.117,223.2,30.4
,,,,,2.55,3.088,224.9,30.4
,,,,,2.6,3.061,226.5,30.4
,,,,,2.65,3.036,228,30.4
,,,,,2.7,3.011,229.5,30.4
,,,,,2.75,2.988,230.8,30.4
