S,C,pHTris,ETris,weight,Volume,pH,E,T
29.3,0.1001,7,-5.1,100.08,2.35,3.581,195.9,30.3
,,,,,2.4,3.513,200,30.3
,,,,,2.45,3.454,203.5,30.3
,,,,,2.5,3.403,206.4,30.3
,,,,,2.55,3.357,209.1,30.3
,,,,,2.6,3.31,211.7,30.3
,,,,,2.65,3.273,214,30.3
,,,,,2.7,3.239,216,30.3
,,,,,2.75,3.21,217.9,30.3
,,,,,2.8,3.177,219.7,30.3
,,,,,2.85,3.149,221.3,30.3
,,,,,2.9,3.121,223,30.3
,,,,,2.95,3.097,224.4,30.3
,,,,,3,3.073,225.8,30.3
,,,,,3.05,3.05,227.2,30.3
,,,,,3.1,3.029,228.4,30.3
,,,,,3.15,3.008,229.6,30.3
,,,,,3.2,2.989,230.8,30.3
